names_hash;D;F;E;M;RW;WR;GuP;TU;IDAF
3cb318f688a10551;4.5;4.0;3.5;5.5;4.5;5.0;5.0;5.5;
0604130382b99306;5.0;5.0;5.5;5.0;4.5;5.0;5.5;5.0;
8d501949aa17847d;5.5;5.0;5.5;5.5;5.5;5.5;5.5;5.0;
d44f875e62650e92;5.0;4.0;5.5;4.0;4.0;4.0;5.5;5.0;
3c1543156c2105cb;4.0;4.0;4.5;4.5;4.0;4.5;4.5;5.5;
b70fd32e0ccebc50;3.5;4.5;5.0;4.0;4.0;4.5;3.5;5.5;
98dad1f8da3c9425;4.5;5.5;5.0;4.0;4.0;4.5;4.0;5.0;
69e086dcf0c8440c;4.0;5.0;4.0;5.5;5.0;5.0;4.5;5.0;
75ce2946a1f01fad;5.0;4.5;4.5;4.5;5.0;5.0;5.5;4.5;
dad70ceb4755212b;4.5;3.5;3.5;4.0;4.5;4.5;4.5;5.0;
8832c3b0ae330634;4.5;4.5;5.0;4.0;3.5;4.5;5.0;4.5;
a29190193773879e;4.0;5.5;4.0;5.0;4.0;4.0;3.5;4.5;
f68bafa787e351cb;4.0;4.2;4.3;5.8;5.0;4.8;4.0;5.6;
3a50fb4a74aaecaa;4.0;4.4;4.8;4.7;5.0;4.2;4.2;5.1;
e514329128c2ebb0;5.8;5.8;5.3;6.0;5.8;5.8;6.0;5.8;
0593f442aafd1b07;4.8;4.0;5.0;3.5;4.5;4.2;4.7;4.6;
a6f5ba0289d6e97c;4.8;4.8;5.5;5.2;5.3;4.7;4.4;5.0;
0cc69bb43c92b2b0;5.0;4.0;5.8;4.2;4.3;3.9;4.9;3.6;
56dc230e80f13fdb;5.0;4.5;5.3;4.0;4.3;3.9;5.0;5.0;
04b172d761f43e5a;5.0;5.2;5.0;6.0;5.5;5.4;5.4;5.8;
d1efbec8efbf0ea6;4.3;3.9;4.8;4.7;4.8;4.5;4.3;5.3;
e1b24240dd5bebf1;5.3;5.5;5.5;5.9;4.5;5.3;5.2;5.8;
1efa270ab3886bd0;3.3;4.8;4.8;4.7;4.5;4.0;4.5;4.3;
5c9d6d808c94c926;3.5;4.8;4.3;4.3;4.8;4.3;4.3;4.3;
a6ccc469ac4164bf;4.8;5.8;6.0;3.8;3.8;4.3;4.5;4.4;
0602632c868078aa;5.0;4.5;5.8;4.5;4.3;4.0;4.3;5.4;
018c6556661890a5;4.0;4.5;5.0;4.0;4.5;4.3;4.8;4.5;
011e30eaf80e8911;3.3;4.4;5.0;4.2;3.8;3.5;3.8;4.1;
93d0a03de6ba0298;3.5;4.8;4.3;3.2;3.8;3.8;4.3;4.3;
21c90bb8bb9a128b;3.5;4.7;4.0;4.8;5.0;4.3;4.8;4.4;
4f99e9d5ec5582f1;4.0;5.0;4.3;5.2;4.5;3.8;5.2;4.8;
1795985762e44d81;4.3;4.5;3.8;3.7;4.0;4.5;4.8;4.5;
23038701e1873b35;4.8;4.5;4.8;4.3;3.8;4.0;4.5;4.5;
e42e64b5f47f6c2b;5.0;4.0;3.5;4.5;4.5;4.5;4.5;5.0;4.5
8c2b50bf8a0e9138;4.0;4.0;4.0;5.0;4.0;3.5;4.0;4.0;4.5
8d3b25c0ad23def7;4.5;4.0;4.5;4.5;5.0;4.5;5.0;4.5;5.5
7c0bdca0822dedb2;4.5;4.0;5.0;4.5;4.0;4.0;4.5;4.5;4.5
9aeb2d71da2a202d;4.0;4.0;4.5;3.5;4.0;4.0;4.0;4.5;4.5
ba1958b1002230b8;4.5;5.5;5.0;5.0;5.0;5.0;4.0;5.0;5.0
ae317b764f835511;5.0;4.5;5.5;5.0;5.0;4.5;4.0;4.5;5.0
9ca6a36bb4ea7dca;4.0;5.0;5.0;4.0;4.5;4.0;4.0;4.0;5.0
1da59c5f7e657c30;4.5;5.0;5.5;5.5;5.0;5.0;4.5;4.5;5.5
f93bdab39e5e6d58;5.0;4.0;5.0;4.0;4.0;4.0;4.5;4.0;4.5
596e03f6a05dc2fb;4.5;4.5;4.0;4.5;4.0;4.5;4.5;4.5;5.0
534b377926e635af;5.0;5.5;6.0;4.5;5.0;5.0;5.0;5.5;5.0
7165f643493115fb;5.0;5.0;5.5;6.0;5.5;5.0;4.5;5.0;6.0
53619f7932830958;4.5;5.0;4.5;5.0;4.0;5.0;4.5;4.5;5.0
2e7953883a156331;4.5;4.0;5.5;4.5;4.0;4.5;4.0;5.0;6.0
7ed580dbb0943880;5.5;4.5;5.5;5.5;5.0;5.5;5.0;5.5;5.5
429e53c5d60b3bb6;3.5;4.5;5.0;4.5;3.5;4.5;4.5;4.5;4.0
9f257d2fd3defce9;4.5;4.0;4.0;4.5;4.5;4.5;4.5;4.5;4.5
cd9d10b4cf9fb5d0;5.0;5.5;5.5;5.0;4.5;4.5;4.5;4.5;5.0
5098ec0527149de6;4.0;3.5;4.5;4.5;4.5;4.5;4.5;5.0;4.5
7e882897a95db774;5.0;5.0;5.0;6.0;6.0;5.5;4.5;5.5;6.0
84deffc9f937bcb5;4.5;3.5;4.5;3.5;4.0;5.0;4.0;4.5;5.0
f4b7c6a91a9c1ef9;4.0;4.0;5.0;5.5;4.0;4.5;4.5;4.5;5.0
dc4682b7c33f362c;4.5;4.5;5.0;5.0;5.0;5.0;4.5;5.0;5.5
18313484635c1f11;5.0;5.0;5.0;6.0;5.5;5.0;4.5;5.0;6.0
4e2f96ae67494db4;4.5;4.5;5.0;3.5;4.0;4.5;4.0;4.5;5.0
5119f5e1f1142729;4.0;4.0;5.0;5.5;3.5;4.0;4.0;4.0;5.0
9e604ce5d3ad9814;5.5;5.0;5.0;3.0;4.0;4.5;4.5;4.5;5.0
d29a6bf3c0b79728;4.5;2.5;4.5;6.0;4.5;5.0;5.0;5.5;5.0
7feb13bceac6fba4;5.0;5.5;5.5;6.0;5.5;5.5;5.5;5.5;6.0
df7cb9c33767703b;5.0;4.0;4.5;4.0;4.5;4.5;5.5;5.5;4.5
8a06ff1e99a6919b;4.5;5.0;4.5;5.0;5.0;4.5;4.5;5.0;5.0
e0284191abe88467;4.5;5.5;4.5;5.0;4.5;4.0;3.5;4.0;4.5
96c3558012856c58;5.0;5.0;5.0;3.5;4.5;4.5;5.0;5.0;5.0
c50f0d280464b9e1;4.0;4.0;4.0;4.5;4.5;4.0;4.0;4.5;5.0
04235c280e4ddc3a;4.5;4.5;4.0;4.0;4.0;4.0;4.0;4.5;5.5
ce540477df9be410;4.5;5.5;5.0;4.5;4.5;4.0;3.5;4.0;4.0
d8b1210a175eb292;4.0;4.5;5.0;5.0;4.5;5.0;5.0;5.0;5.0
ddd93f9fe7548522;4.5;4.0;4.5;5.0;5.0;5.0;4.5;5.0;5.5
6ed51385ac7ce60a;4.5;4.5;4.0;5.0;4.5;4.5;5.0;4.5;5.5
af89516e490e52b2;4.0;4.0;4.5;4.0;4.0;4.5;4.5;5.0;6.0
90275d39d0c977f8;4.0;5.0;4.5;5.0;4.5;4.5;4.5;5.0;5.0
98ba8312d437604b;5.0;5.0;4.5;3.5;4.0;4.0;5.5;5.0;5.0
bd5bf22d333fa1fd;4.5;3.0;3.5;5.0;5.0;4.5;4.0;5.0;4.5
ee2199da1a2a5753;4.5;4.0;4.5;4.0;4.0;4.5;4.5;4.5;5.0
ffd58aed0cbec40d;4.5;4.5;4.0;5.5;4.5;4.5;4.5;5.5;5.0
2c78afc0afe03ab0;5.0;4.0;4.0;5.0;4.5;5.0;4.5;4.5;6.0
3e3cd31b7fbab16e;5.0;3.5;4.5;6.0;4.5;4.5;5.0;5.5;6.0
126b888ebbffe185;4.5;4.0;5.5;3.5;4.0;4.0;4.5;4.0;4.5
9f1927f1a44c1e8d;5.0;5.5;5.5;4.5;5.0;4.5;5.0;4.0;5.5
3ec56cbfa81f7d6a;4.0;4.0;5.0;5.5;5.0;4.0;4.0;4.5;4.5
820b2680739a15f3;4.0;4.0;4.0;4.0;4.0;3.5;4.5;4.5;4.5
8a7aa7fbc2a1d361;5.0;3.0;5.0;3.5;4.5;4.5;5.5;5.0;4.5
e63b4eb250ec06c8;5.5;5.5;5.5;5.5;5.0;5.5;5.0;5.5;6.0
30c0466835a3e0de;4.0;4.5;5.0;5.0;5.0;4.5;4.5;5.0;5.5
b8a9d0fd8cca8668;4.0;4.5;4.5;5.0;4.5;4.5;4.0;4.5;5.0
a37f8ad15b84cc3d;4.5;3.5;4.5;4.5;4.5;4.5;5.0;4.5;5.0
7043e45d7057ca8c;4.5;5.0;5.0;5.5;5.5;5.5;5.5;5.5;6.0
18152e84e5368a6d;5.5;4.0;5.0;4.0;5.0;5.0;4.5;5.0;5.5
8570888e42af5642;4.5;3.5;5.5;3.5;3.5;3.5;4.0;4.0;5.5
c66be58d0f13f85c;4.0;5.5;5.5;5.0;4.5;4.0;4.5;4.5;5.5
7a34e5520cb54622;4.0;4.0;4.5;3.5;4.0;4.0;4.5;4.5;5.0
b9d4ef796cc6c9b4;3.5;4.0;4.0;3.0;5.0;4.0;4.0;4.0;5.5
64967e6be4d2480e;5.0;5.0;5.0;5.0;5.0;5.0;4.5;5.0;5.5
337bc8540129368b;5.0;5.0;5.0;5.0;4.5;4.5;4.5;5.0;5.0
2e7fd7f23f9200d0;3.5;5.0;5.0;4.0;4.5;4.0;4.5;4.5;4.5
