;shapiro;kolmogorov;K2
D;1.353309152761241e-06;0.0;0.05786146429280985
F;5.875096620522237e-05;0.0;0.6335064274332031
E;3.5010352440532318e-06;0.0;0.12507422876134985
M;0.00012221120477694407;0.0;0.6759419311594153
RW;1.2104152939187993e-05;0.0;0.6580334760127016
WR;4.891694794475623e-06;0.0;0.7369832893560488
GuP;1.5385079061415566e-07;0.0;0.24536215842306952
TU;1.4027441908261196e-07;0.0;0.0508450162493482
IDAF;6.97618049402342e-07;0.0;0.2219569262846026
